7zip 24.09-3
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xcur2png 0.7.1-8
xdg-dbus-proxy 0.1.6-1
xdg-desktop-portal 1.18.4-2
xdg-desktop-portal-gtk 1.15.2-1
xdg-desktop-portal-hyprland 1.3.9-4
xdg-desktop-portal-wlr 0.7.1-1
xdg-user-dirs 0.18-2
xdg-user-dirs-gtk 0.14-1
xdg-utils 1.2.1-1
xf86-input-libinput 1.5.0-1
xfsprogs 6.12.0-1
xkeyboard-config 2.43-1
xorg-fonts-encodings 1.1.0-1
xorg-server 21.1.15-1
xorg-server-common 21.1.15-1
xorg-setxkbmap 1.3.4-2
xorg-xauth 1.1.3-1
xorg-xdpyinfo 1.3.4-2
xorg-xinit 1.4.3-1
xorg-xkbcomp 1.4.7-1
xorg-xmodmap 1.0.11-2
xorg-xprop 1.2.8-1
xorg-xrdb 1.2.2-2
xorg-xset 1.2.5-2
xorg-xwayland 24.1.4-1
xorgproto 2024.1-2
xvidcore 1.3.7-3
xxhash 0.8.3-1
xz 5.6.3-1
yara 4.5.1-1
yay 12.4.2-1
yay-debug 12.4.2-1
yazi 0.4.2-2
yt-dlp 2025.01.15-1
yyjson 0.10.0-1
zathura 0.5.11-1
zathura-cb 0.1.11-4
zathura-pdf-mupdf 0.4.4-10
zed-git 0.170.0.r30.g70547ea-1
zen-browser-bin 1.7.2b-1
zeromq 4.3.5-2
zimg 3.0.5-1
zita-convolver 4.0.3-4
zix 0.6.2-1
zlib 1:1.3.1-2
zoxide 0.9.6-1
zram-generator 1.2.1-1
zsh 5.9-5
zstd 1.5.6-1
